type,group_year,title,place,year,keyword,playtime,summary,url,thumbnail,,,,,,,,,,
기록영상,1950,"미국해군전함 미수리 (BB-63) 인청과 청진 해안을 떠나다, 한국 미수리, 미국해군전함,USS MISSOURI (BB-63) OFF COAST OF INCHON AND CHONJIN, KOREA MISSOURI, USS",미국 NARA,"10/4/1950,10/12/1950,10/13/1950","인천 (한국),국방부. 미해군. 로완 (구축함). 9/18/1947-12/18/1975,아서 D. 스트러블 (아서 듀이), 1894-1983,비행기,구축함 (군함),소형 화기,항구,군 기동 부대,포병",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"상륙강습 원산, 북한,AMPHIBIOUS ASSAULT Wonsa, North Korea",미국 NARA,,"국방부. 미해군. 미수리(전함). 5/10/1985-3/31/1992,비행기,전함,군 통신,상륙 주정,상륙 작전,해병대,군사 지원,수륙 양용 장갑차,군 기동 부대",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"한국에 헬리콥터 로켓,HELICOPTERS-ROCKETS IN KOREA",미국 NARA,10/21/1952,"항공 조종사,탄약,헬리콥터,상륙 작전,로켓 (대포),군 헬리콥터",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"헬리콥터 운영, 한국,HELICOPTER OPERATIONS. Korea",미국 NARA,10/21/1952,"항공뷰,항공 조종사,공항,탄약,로켓 발사기 (대포),트럭,마이크로폰,군 헬리콥터",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"한강을 건너다 한국,HAN RIVER CROSSING Korea",미국 NARA,,"바지선,소형 화기,깃발,상륙 주정,상륙 작전,군사 지원,탱크 (군사학),육군 장교,GMC 덕 (군트럭),감시원",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"제1 사단, 미국 해병대USMC, 로켓 중대 한국,FIRST DIVISION, USMC, ROCKET COMPANY Korea",미국 NARA,,"지도,군 통신,해병대,라디오,로켓 (대포),트럭,지프차,포병",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"고지 벙커 안 해병대 한국,MARINES IN THE BUNKER HILL AREA Korea",미국 NARA,8/27/1952,"비행기,해병대,탱크,군 병원,병과 부상에 대한 전시 구조,공격",240,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"한국에 해병대,MARINES IN KOREA",미국 NARA,7/7/1952,"비행기,폭격기,요새,해병대,로켓 (대포)",240,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"""CRIPPLED CHICK ISLAND"" 프로젝트 여도, 한국,PROJECT, ""CRIPPLED CHICK ISLAND"" Yo-Do, Korea",미국 NARA,7/1952,"국방부. 미해군. 해군 건설 부대. 9/18/1947-,항공뷰,공항,부두,상륙 주정,선원,삽,건설 장비",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"평화 회담, 판문점, 함국,PEACE TALKS, PANMUNJOM, KOREA",미국 NARA,,"판문점 (한국),군 캠프,사진사,군 차량,육군 장교,종군 기자,신호와 신호판,경비병",360,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"개성 회담 판문점, 한국,KAESONG CONFERENCES Panmunjon, Korea",미국 NARA,9/24/1951,"판문점 (한국),유엔,중국인,의회와 협약,종군 기자,군 헬리콥터,지프차",300,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"인천 첫 해안 폭격, 한국,THE FIRST SHORE BOMBARDMENT OF INCHON, KOREA",미국 NARA,9/13/1950,"인천 (한국),미해군. 콜렛 (구축함). 5/16/1944-9/18/1947,미해군. 로체스터 (중순양함). 12/20/1946-9/18/1947,국방부. 미해군. 톨레도 (잠수함). 2/24/1995-,상륙전,대공포,군 통신,회전 포탑,감시원,군 기동 부대",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"D 더하기 I DAY 인천, 한국,D PLUS I DAY Inchon, Korea",미국 NARA,9/16/1950,"인천,국방부. 미해군. 해군 건설 부대. 9/18/1947-,상륙 작전,해병,군사 지원,해군 장교,선박,트럭,육군 장교,전쟁 피해,부교 다리,지프차,트레일러",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"인천 폭격, 한국,BOMBARDMENT OF INCHON, KOREA",미국 NARA,9/18/1950,"인천 (한국),미해군. 라이먼 K. 스웬슨 (구축함). 5/2/1944-9/18/1947,탄약,공중 포격,발포,항구,상륙 주정,지뢰 (군용화약),침입,예광탄 (탄약),수륙양용장갑차",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"원산 상륙, 북한,LANDING AT WONSON, NORTH KOREA",미국 NARA,10/24/1950,"지뢰 (군용화약),선원, 선박,트럭,GMC 부두 (군 트럭),LCVP (상륙 주정),침입,수륙 양육 장갑차,대형 상륙함,정찰선",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"Heartbreak 고지, 인제면 지역, 한국,Heartbreak Hill, Inje-Myon Area, Korea",미국 NARA,,"해병대,군사 지원,질의,육군 장교,참호,산,병과 부상에 대한 전시 구조,군 헬리콥터,기관총,박격포 (대포)",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"사진총 한국,GUN CAMERA Korea",미국 NARA,,"미해군. 복서 (항공모함). 4/16/1945-9/18/1947,카메라,라디오,로켓 (대포),철도 마당,공격 (군사학)",780,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"""THIS IS KOREA"" 미공개 영상 ,SUPPLEMENTS TO ""THIS IS KOREA""",미국 NARA,1951,"국방부. 미해군. 잉글리시 (구축함). 9/18/1947-5/15/1970,비행기,구축함 (군함),항구,로켓 (대포),전쟁 피해",840,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"평화 회담 판문점, 한국,PEACE TALKS Panmunjom, Korea",미국 NARA,"2/9/1952,2/10/1952,2/14/1952,2/17/1952","판문점 (한국),C. 터너 조이 (찰스 터너), 1895-1956,의회와 협약,발포,헬리콥터,휘장,상륙 작전,기계류,우편 제도",360,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"흥남 철수 활동, 한국,EVACUATION ACTIVITIES AT HUNGNAM, KOREA",미국 NARA,12/21/1950,"미해군. 뱅거 (고속 수송함). 3/14/1945-9/18/1947,국방부. 미해군. 위스턴 (상륙 화물 수송함). 1950 ?-1976 ?,아프리카계 미국인,해변,민간인 대피,폭발, 발포,상륙 주정,군사 지원,피난민,선박,군인,탱크 (군사학), 트럭,전쟁 피해,수륙 양용 장갑차,군 기동 부대,하역망,건설 장비",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"""THIS IS KOREA"" 미공개 영상 ,SUPPLEMENTS TO ""THIS IS KOREA""",미국 NARA,1951,"비행기,전함,항공 폭격,로켓 (대포),전쟁 피해,부교 다리",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"진남포 항구에서 지뢰제거 작전, 한국,MINESWEEPING OPERATIONS AT CHINNAMPO HARBOR, KOREA",미국 NARA,,"미해군. 카타마운트 (선착장 상륙함). 4/9/1945-9/18/1947,국방부. 미해군. 포레스트 로열 (구축함). 9/18/1947-3/27/1971,국방부. 미해군. 굴 (보조 전동 지뢰 제거함). 9/18/1947-8/1/1954,미해군. 호레이스 B. 베이스 (고속 수송함). 12/21/1944-9/18/1947,항공,헬리콥터,지뢰 (군용화약),해군 장교,해운,송수화기,영국인,부교,기관총,아프리카계 미국 선원",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"인천에서의 D-DAY 활동, 한국,D-DAY ACTIVITIES AT INCHON, KOREA",미국 NARA,,"인천 (한국),국방부. 미해군. 미수리 (전함). 5/10/1985-3/31/1992,비행기,대공포,폭격기,상륙 주정,군사 지원,로켓 (대포),침입,회전 포탑,수륙양용장갑차",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"한국에서 해병대 퇴각,MARINE RETREAT IN KOREA",미국 NARA,12/1950,"북한,행군,탱크,군용차,군용기,투하,군용트럭,군수품,철로",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"구축함 원산 포격, 한국,DESTROYER BOMBARDMENT OF WONSAN, KOREA",미국 NARA,9/10/1951,"원산 (한국),급식,통신장비,망원경,포격,군함,포탄",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"구축함 원산 포격, 한국,DESTROYER BOMBARDMENT OF WONSAN, KOREA",미국 NARA,9/19/1951,"원산 (한국),군함,포격,연기,보트,헬리콥터",480,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"한국에 캐나다군, 임진강,CANADIANS IN KOREA, IMJIN RIVER",미국 NARA,9/21/1951,"군용트럭,견인,토치, 용접,탱크,대포,확성기,통신장비,군용차,송수화기",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"이승만 대통령 취임식 서울, 한국,INAUGURATION OF PRESIDENT SYNGMAN RHEE Seoul, Korea",미국 NARA,8/15/1952,"서울 (한국),마크 W. 클라크 (마크 웨인), 1896-1984,이승만, 1875-1965,자동차,취임식,육군 장교,합창 (음악),헌병대,신호와 신호판",180,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"유엔 & 공산군 휴전 협상 판문점, 한국,UN & COMMUNIST ARMISTICE NEGOTATIONS Panmunjom, Korea",미국 NARA,4/20/1952,"판문점 (한국),C. 터너 조이 (찰스 터너), 1895-1956,의회와 협약,비와 강우량,진흙",120,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"초계 어뢰정 작전 진해, 한국,PT BOAT OPERATIONS Chinhae, Korea",미국 NARA,4/1952,"영국,미해군. 데이비스 카운티 (대형 상륙선). 1944 ?-9/18/1947,탄약,대공포,밴드 (음악),상륙 주정,해군 장교,레이더,로켓 ,선박,정찰 보트",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"헬리콥터 반-지뢰 작전 원산 항공, 북한,HELICOPTER ANTI-MINE OPERATIONS Wonsan Harbor, N. Korea",미국 NARA,1952,"한국인,미해군. 콘도르 (전동 소해정). 2/1947-9/18/1947,미해군. 멀렛 (소해정). 8/21/1945-9/18/1947,항공 조종사,비행기,헬리콥터,상륙 주정,지뢰 (군용화약),군 헬리콥터,풍량계,생존자 수색과 구조",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"유엔 & 공산군 휴전 협상 판문점, 한국,UN & COMMUNIST ARMISTICE NEGOTIATIONS Panmunjom, Korea",미국 NARA,2/18/1952,"판문점 (한국),리비, 룻벤 엘머, 1900-1986,풍선,의회와 협약,한국인,텐트,신호와 신호판,선박조종술",240,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"한국에 해병대와 (동해안),WITH MARINES IN KOREA (EAST COAST)",미국 NARA,,"한국,우편 제도,레크레이션,눈,참호,워키토키,병과 부상에 대한 전시 구조",240,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"This is korea 미공개  ,THIS IS KOREA, SUPPLEMENT",미국 NARA,1951,"국방부. 미해군. 미수리 (전함). 5/10/1985-3/31/1992,항공모함,비행기,공중 포격,구축함 (군함),폭발,축구,막사,얼음,군사 기지,로켓 (대포),선박,전쟁 피해,행진,수류탄,수녀",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"전쟁의 하루 한국,ONE DAY OF WAR Korea",미국 NARA,6/26/1951,"미해군. 복서 (항공모함). 4/16/1945-9/18/1947,항공 조종사,비행기,대공포,공중 폭격,선박,트랙터,군 헬리콥터",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"원산 피난, 한국,EVACUATION OF WONSAN, KOREA",미국 NARA,12/5/1950,"국방부. 미해군. 맥킨리 산 (상륙지휘함). 9/18/1947-1976,크래인, 기중기 등,부두,민간인 대피,항구,상륙 주정,군사 지원,선박,전쟁 비행,행진",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"흥남 철수 한국,EVACUATION OF HUNGNAM KOREA",미국 NARA,12/24/1950,"비행기,폭탄,공중 폭격,구축함 (군함),민간인 대피,폭발,항구,상륙 주정,탱크",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"흥남 포격, 한국,BOMBARDMENT OF HUNGNAM, KOREA",미국 NARA,12/9/1950,"탄약,대공포,방파제,구축함 (군함),민간인 대피,폭발,항구,군사 지원,도로,로켓 (대포),선박,트럭,LCVP (상륙 주정),군 기동 부대",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"인천 피난, 한국,EVACUATION OF INCHON, KOREA",미국 NARA,1/4/1951,"인천 (한국),미해군. 엘도라도 (상륙지휘함). 8/25/1944-9/18/1947,민간인 대피,폭발,항구,상륙 주정,해군 장교,철로,선박 조종술",300,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"한국 인천에서의 D-DAY,D-DAY AT INCHON, KOREA",미국 NARA,9/15/1950,"인천 (한국),국방부. 미해군. 맥킨리 산 (상륙지휘함). 9/18/1947-1976 ?,미해군. 로체스터 (중순양함). 12/20/1946-9/18/1947,더글라스 맥아더, 1880-1964,아서 D. 스트러블 (아서 듀이), 1894-1983,로버트 M. 도일 (로버트 모리스), 1853-1925,공중 폭격,항구, 선박,상륙 주정,해군 장교,침입,수륙양용장갑차",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"진남포에서 지뢰제거 작전, 한국,MINESWEEPING OPERATIONS AT CHINNAMPO, KOREA",미국 NARA,11/19/1950,"국방부. 미해군. 굴 (보조 모터 지뢰 제거기). 9/18/1947-8/1/1954,군통신,개,항구,헬리콥터,상륙 주정,지뢰 (군용화약),해군 장교,스쿠버 드라이버",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"미국 해병대의 한국에서의 퇴각,MARINE RETREAT IN KOREA",미국 NARA,,"북한,텐트,환자,군용기,행군,포탄,군용트럭,취사",720,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,0,"흥남 부두 활동, 한국,ACTIVITY AT HUNGNAM HARBOR, KOREA",미국 NARA,,"미해군. 뱅거(고속 수송함). 3/14/1945-9/18/1947,국방부. 미해군. 맥킨리 산 (상륙지휘함). 9/18/1947-1976 ?,국방부. 미해군. 성 파울 (중순양함). 9/18/1947-4/30/1971,국방부. 미해군. 리포스 (병원선). 9/18/1947-5/1/1970,알몬드 M. 에드워드 (에드워드 말러리), 1892-1979,로버트 M. 도일 (로버트 모리스), 1853-1925,탄약,민간인 대피,폭발,상륙 주정,군수 지원,선박,눈,창고,전쟁 피해,산",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"흥남 철수, 한국,EVACUATION OF HUNGNAM, KOREA",미국 NARA,12/24/1950,"국방부. 미해군. 카트마이 산(탄약선). 9/18/1947-8/14/1973,미해군. 필리핀 바다(항공모함). 5/11/1946-9/18/1947,비행기,탄약,군 통신,군사 지원,레크레이션,연료 주입,하역망,폭풍 해일",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1956,"한국 휴전선,Truce Line Korea",미국 NARA,5/1956,"막사,한반도 비무장 지대 (한국),라디오,소총,군인,보초 임무,군식당, 식기 세트,청소,군사 훈련",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1953,"BIG SWITCH, 무산리와 판문점, 한국,BIG SWITCH, MUNSAN-NI AND PANMUNJOM, KOREA",미국 NARA,8/6/1953,"무산리 (경기도, 한국),판문점 (한국),랜돌프 M. 페이트 (랜돌프 맥콜), 1898-1961,앰뷸런스,헬리콥터,상륙 작전,해병대,의료진,전쟁 포로, 송환",660,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1953,"LITTLE SWITCH, 음성 포함 인터뷰, 무산리, 한국,LITTLE SWITCH, INCLUDING SOUND INTERVIEWS, MUNSAN-NI, KOREA",미국 NARA,4/20/1953,"무산리 (경기도, 한국),공항,헬리콥터,간호사,내과 의사,육군 장교,마이크로폰,텐트,지프차,치카소 (헬리콥터)",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"헌병대 (MP) 차량 정찰, 제10 군단, 한국,MILITARY POLICE (MP) TRAFFICE PATROL, X CORPS, KOREA",미국 NARA,6/26/1952,"상륙 주정,헌병대,경찰,사찰,아프리카계 미국 군인",300,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"SP-1 전쟁포로, 부산, 한국,SP-1 Prisoners of War, Pusan, Korea",미국 NARA,1951,"배구,철조망,전쟁포로,세수,캠프,옥상뷰",540,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1952,"선전 포격 회의, 판문점, 한국, 등,INVESTIGATION OF PROPAGANDA SHELL, PANMUNJOM, KOREA; ETC",미국 NARA,3/1952,"군용차,군용기,군악대,군용트럭,행군,관중,공연,헬리콥터,사진사",420,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1950,"유엔이 한국에 병력을 파견하다,UN RUSH TROOPS TO KOREA",미국 NARA,1950,"선박,보트,군악대,사진사,연설,행군,비행기,탱크,군용차, 군용트럭",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"한국에 캐나다 병력을 위한 기동 훈련,SPEED TRAINING FOR CANADIAN TROOPS IN KOREA",미국 NARA,1951,"사격,바주카,군용트럭,포격,행군,열차,선박,빨래,화물",600,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
기록영상,1951,"더글라스 맥아더 장군 한국 방문,GEN. DOUGLAS MACARTHUR VISITS KOREA",미국 NARA,2/20/1951,"비행기,군용차,사진사,활주로,임시다리",480,없음," /movies/00/1_흥남 철수, 한국.mp4", /images/00/ing.png,,,,,,,,,,
